Series,Release,Game,Platform,Done
Souls,2011,Dark Souls,Microsoft Windows,Yes
Souls,2014,Dark Souls 2: Scholar of the First Sin,Microsoft Windows,
Souls,2016,Dark Souls 3,Microsoft Windows,
Super Robot Wars,2008,Endless Frontier,Nintendo DS,Yes
Super Robot Wars,2010,Endless Frontier Exceed,Nintendo DS,
Teenage Mutant Ninja Turtles,1992,Teenage Mutant Ninja Turtles: The Hyperstone Heist,Sega Genesis,Yes
Tomb Raider,2013,Tomb Raider,Microsoft Windows,Yes
Tomb Raider,2015,Rise of the Tomb Raider,Microsoft Windows,Yes
Tomb Raider,2018,Shadow of the Tomb Raider,Microsoft Windows,
Valkyrie Profile,2008,Valkyrie Profile: Covenant of the Plume,Nintendo DS,Yes
Wario,1994,Wario Land,Nintendo GB,
Wario,1998,Wario Land 2,Nintendo GBC,
Wario,2000,Wario Land 3,Nintendo GBC,
Wario,2001,Wario Land 4,Nintendo GBA,
White Wolf,2004,Vampire: The Masquerade Bloodlines,Microsoft Windows,Yes
Wipeout,1995,Wipeout,Sony PS1,Yes
Wipeout,1996,Wipeout 2097,Sony PS1,Yes
Wipeout,2005,Wipeout Pure,Sony PSP,Yes
Wipeout,2007,Wipeout Pulse,Sony PSP,Yes
Witcher,2015,The Witcher 3: Wild Hunt,Microsoft Windows,Yes
Xeno,2015,Xenoblade Chronicles X,Nintendo Wii U,Yes
Zelda,1998,The Legend of Zelda: Ocarina of Time,Nintendo 3DS,
Zelda,2000,The Legend of Zelda: Majora's Mask,Nintendo 3DS,
Zelda,2002,The Legend of Zelda: The Wind Waker,Nintendo Wii U,
Zelda,2004,The Legend of Zelda: Four Swords Adventures,Nintendo DS,
Zelda,2006,The Legend of Zelda: Twilight Princess,Nintendo Wii U,
Zelda,2007,The Legend of Zelda: Phantom Hourglass,Nintendo DS,
Zelda,2009,The Legend of Zelda: Spirit Tracks,Nintendo DS,
Zelda,2015,The Legend of Zelda: Tri Force Heroes,Nintendo 3DS,
Zero Escape,2009,999,Nintendo DS,Yes
Zero Escape,2012,Virtue's Last Reward,Sony PSV,
Zero Escape,2016,Zero Time Dilemma,Sony PSV,
