Series,Release,Game,Platform,Done
Disgaea,2008,Disgaea 3: Absence of Detention,Sony PSV,
Disgaea,2010,Disgaea Infinite,Sony PSP,
Disgaea,2011,Disgaea 4,Nintendo Switch,
Disgaea,2013,Disgaea D2: A Brighter Darkness,Sony PS3,
Disgaea,2015,Disgaea 5,Nintendo Switch,
Disgaea Spin-Off,2004,La Pucelle Ragnarok,Sony PSP,
Disgaea Spin-Off,2004,Phantom Brave,Sony PSP,
Disgaea Spin-Off,2005,Phantom Kingdom,Sony PSP,
Disgaea Spin-Off,2008,Prinny: Can I Really Be the Hero?,Sony PSP,
Disgaea Spin-Off,2010,Prinny 2: Dawn of Operation Panties,Sony PSP,
Donkey Kong,2010,Donkey Kong Country Returns,Nintendo 3DS,
Donkey Kong,2014,Donkey Kong Country: Tropical Freeze,Nintendo Switch,
Doom,2020,DOOM Eternal,Microsoft Windows,
Dragon Age,2009,Dragon Age: Origins,Microsoft Windows,Yes
Dragon Age,2011,Dragon Age II,Microsoft Windows,Yes
Dragon Age,2014,Dragon Age: Inquisition,Microsoft Windows,
Dragon Ball,2004,Dragon Ball: Advanced Adventure,Nintendo GBA,
Dragon Ball,2018,Dragon Ball FighterZ,Microsoft Windows,Yes
Drakengard,2010hd,Nier Replicant,Microsoft Windows,Yes
Drakengard,2017,Nier: Automata,Microsoft Windows,Yes
Final Fantasy,1990hd,Final Fantasy III,Nintendo DS,Yes
Final Fantasy,1991hd,Final Fantasy IV,Nintendo DS,Yes
Final Fantasy,1994,Final Fantasy VI,Nintendo GBA,
Final Fantasy,1997,Final Fantasy VII,Sony PS1,
Final Fantasy,2001,Final Fantasy X,Sony PSV,
Final Fantasy,2003,Final Fantasy X-2,Sony PSV,
Final Fantasy,2006,Final Fantasy XII,Nintendo Switch,
Final Fantasy,2007hd,Crisis Core: Final Fantasy VII,Microsoft Windows,Yes
Final Fantasy,2020,Final Fantasy VII Remake,Microsoft Windows,Yes
Final Fantasy Spin-Off,2000,Vagrant Story,Sony PS1,
Final Fantasy Spin-Off,2009,Final Fantasy: The 4 Heroes of Light,Nintendo DS,
Final Fantasy Spin-Off,2011,Dissidia 012 Final Fantasy,Sony PSP,Yes
Final Fantasy Tactics,1997,Final Fantasy Tactics,Sony PS1,Yes
Final Fantasy Tactics,2003,Final Fantasy Tactics Advance,Nintendo GBA,Yes
Final Fantasy Tactics,2007,Final Fantasy Tactics A2: Grimoire of the Rift,Nintendo DS,Yes
Fire Emblem,1990hd,Fire Emblem: Shadow Dragon,Nintendo DS,
Fire Emblem,1992hd,Fire Emblem Echoes: Shadows of Valentia,Nintendo 3DS,
Fire Emblem,1994hd,Fire Emblem: New Mystery of the Emblem,Nintendo DS,
Fire Emblem,1996,Fire Emblem: Genealogy of the Holy War,Nintendo SNES,
Fire Emblem,1999,Fire Emblem: Thracia 776,Nintendo SNES,
Fire Emblem,2002,Fire Emblem: The Binding Blade,Nintendo GBA,
Fire Emblem,2003,Fire Emblem: The Blazing Blade,Nintendo GBA,
Fire Emblem,2004,Fire Emblem: The Sacred Stones,Nintendo GBA,
Fire Emblem,2005,Fire Emblem: Path of Radiance,Nintendo Gamecube,
Fire Emblem,2007,Fire Emblem: Radiant Dawn,Nintendo Wii,
Fire Emblem,2013,Fire Emblem Awakening,Nintendo 3DS,Yes
Fire Emblem,2016,Fire Emblem Fates,Nintendo 3DS,Yes
Fire Emblem,2019,Fire Emblem Three Houses,Nintendo Switch,
Fire Emblem,2023,Fire Emblem Engage,Nintendo Switch,
Forgotten Realms,1994,D&D Tower of Doom,Arcade,Yes
Forgotten Realms,1996,D&D Shadow over Mystara,Arcade,Yes
Forgotten Realms,1998,Baldur's Gate,Microsoft Windows,Yes
Forgotten Realms,2000,Baldur's Gate II,Microsoft Windows,Yes
Forza,2018,Forza Horizon 4,Microsoft Windows,Yes
God of War,2005,God of War,Sony PSV,Yes
God of War,2007,God of War II,Sony PSV,Yes
God of War,2008,God of War: Chains of Olympus,Sony PSP,Yes
God of War,2010,God of War III,Sony PS3,Yes
God of War,2010,God of War: Ghost of Sparta,Sony PSP,Yes
God of War,2013,God of War: Ascension,Sony PS3,Yes
God of War,2018,God of War,Microsoft Windows,Yes
Guardian Heroes,1996,Guardian Heroes,Sega Saturn,Yes
Guilty Gear,2002,Guilty Gear XX Accent Core Plus,Sony PSP,Yes
Guilty Gear,2014,Guilty Gear Xrd Rev 2,Microsoft Windows,Yes
Guilty Gear,2021,Guilty Gear Strive,Microsoft Windows,Yes
Hollow Knight,2017,Hollow Knight,Nintendo Switch,
King of Fighters,2002,King of Fighters 2002,Arcade,Yes
Kingdom Hearts,2002,Kingdom Hearts,Microsoft Windows,Yes
Kingdom Hearts,2004,Kingdom Hearts: Chain of Memories,Nintendo GBA,Yes
Kingdom Hearts,2005,Kingdom Hearts II,Microsoft Windows,Yes
Kingdom Hearts,2008,Kingdom Hearts Re:coded,Nintendo DS,Yes
Kingdom Hearts,2009,Kingdom Hearts 358/2 Days,Nintendo DS,Yes
Kingdom Hearts,2010,Kingdom Hearts Birth By Sleep,Sony PSP,Yes
Kingdom Hearts,2012,Kingdom Hearts 3D: Dream Drop Distance,Nintendo 3DS,Yes
Kingdom Hearts,2017,Kingdom Hearts 0.2: A Fragmentary Passage,Microsoft Windows,Yes
Kingdom Hearts,2019,Kingdom Hearts III,Microsoft Windows,Yes
Klonoa,2001,Klonoa: Empire of Dreams,Nintendo GBA,
Klonoa,2002,Klonoa 2: Dream Champ Tournament,Nintendo GBA,
League of Legends,2022,Ruined King,Microsoft Windows,
Mario,1985hd,Super Mario Bros,Nintendo SNES,
Mario,1986hd,Super Mario Bros Lost Levels,Nintendo SNES,
Mario,1988hd,Super Mario Bros 2,Nintendo SNES,
Mario,1988hd,Super Mario Bros 3,Nintendo SNES,
Mario,1990,Super Mario World,Nintendo SNES,
Mario,2006,New Super Mario Bros,Nintendo DS,
Mario,2011,Super Mario 3D Land,Nintendo 3DS,Yes
Mario,2012,New Super Mario Bros 2,Nintendo 3DS,
Mario,2012,New Super Mario Bros U,Nintendo Switch,
Mario,2013,Super Mario 3D World & Bowser's Fury,Nintendo Switch,
Mario,2017,Super Mario Odyssey,Nintendo Switch,
Mario Kart,2014,Mario Kart 8,Nintendo Switch,Yes
Marvel,1994,X-Men: Children of the Atom,Arcade,Yes
Marvel,2000,Marvel vs Capcom 2,Sega Dreamcast,Yes
Marvel,2011,Marvel vs Capcom 3,Sony PSV,Yes
Marvel,2018,Spider-Man,Microsoft Windows,
Marvel,2020,Spider-Man: Miles Morales,Microsoft Windows,
Mass Effect,2007,Mass Effect,Microsoft Windows,Yes
Mass Effect,2010,Mass Effect 2,Microsoft Windows,Yes
Mass Effect,2012,Mass Effect 3,Microsoft Windows,Yes
Metal Gear,1998,Metal Gear Solid,Sony PS1,Yes
Metal Gear,2001,Metal Gear Solid 2: Sons of Liberty,Sony PSV,Yes
Metal Gear,2004,Metal Gear Solid 3: Snake Eater,Sony PSV,Yes
Metal Gear,2008,Metal Gear Solid 4: Guns of the Patriots,Sony PS3,Yes
Metal Gear,2010,Metal Gear Solid: Peace Walker,Sony PSP,Yes
Metal Gear,2013,Metal Gear Rising: Revengeance,Microsoft Windows,Yes
Metal Gear,2014,Metal Gear Solid V: Ground Zeroes,Microsoft Windows,Yes
Metal Gear,2015,Metal Gear Solid V: The Phantom Pain,Microsoft Windows,Yes
Metroid Prime,2002hd,Metroid Prime,Nintendo Switch,
Metroid Prime,2004,Metroid Prime 2: Echoes,Nintendo Wii,
Metroid Prime,2007,Metroid Prime 3: Corruption,Nintendo Wii,
Metroid,1986hd,Metroid: Zero Mission,Nintendo GBA,Yes
Metroid,1991hd,Metroid: Samus Returns,Nintendo 3DS,Yes
Metroid,1994,Super Metroid,Nintendo SNES,Yes
Metroid,2002,Metroid Fusion,Nintendo GBA,Yes
Metroid,2021,Metroid Dread,Nintendo Switch,Yes
Mighty,2011,Mighty Switch Force,Nintendo 3DS,
Mighty,2013,Mighty Switch Force 2,Nintendo 3DS,
Monster Hunter Spin-Off,2016,Monster Hunter Stories,Nintendo 3DS,Yes
Monster Hunter Spin-Off,2021,Monster Hunter Stories 2: Wings of Ruin,Microsoft Windows,
Octopath,2018,Octopath Traveler,Nintendo Switch,
Octopath,2023,Octopath Traveler II,Nintendo Switch,
Okami,2007,Ōkami,Nintendo Switch,
Okami,2010,Ōkamiden,Nintendo DS,
Ori,2015,Ori & The Blind Forest,Nintendo Switch,
Ori,2020,Ori & The Will Of The Wisps,Nintendo Switch,
Panzer Dragoon,1995hd,Panzer Dragoon,Microsoft Windows,Yes
Parasite Eve,1998,Parasite Eve,Sony PS1,
Parasite Eve,1999,Parasite Eve II,Sony PS1,
Parasite Eve,2010,The 3rd Birthday,Sony PSP,
Persona,1996,Persona,Sony PSP,
Persona,1999,Persona 2: Innocent Sin,Sony PSP,
Persona,2000,Persona 2: Eternal Punishment,Sony PSP,
Persona,2006,Persona 3,Sony PSP,Yes
Persona,2008,Persona 4 Golden,Sony PSV,Yes
Persona,2016,Persona 5 Royal,Nintendo Switch,
Persona Spin-Off,2012,Persona 4 Arena Ultimax,Nintendo Switch,
Persona Spin-Off,2015,Persona 4: Dancing All Night,Sony PSV,
Persona Spin-Off,2018,Persona 3: Dancing in Moonlight,Sony PSV,
Persona Spin-Off,2018,Persona 5: Dancing in Starlight,Sony PSV,
Persona Spin-Off,2020,Persona 5 Strikers,Nintendo Switch,
Pokemon,1996hd,Pokemon Fire Red,Nintendo GBA,Yes
Pokemon,1999hd,Pokemon SoulSilver,Nintendo DS,Yes
Pokemon,2002hd,Pokemon Alpha Sapphire,Nintendo 3DS,Yes
Pokemon,2008,Pokemon Platinum,Nintendo DS,Yes
Pokemon,2010,Pokemon White,Nintendo DS,Yes
Pokemon,2012,Pokemon White 2,Nintendo DS,Yes
Pokemon,2013,Pokemon Y,Nintendo 3DS,Yes
Pokemon,2017,Pokemon Ultra Sun,Nintendo 3DS,Yes
Pokemon,2018,Pokemon Let's Go Eevee,Nintendo Switch,Yes
Pokemon,2019,Pokemon Sword,Nintendo Switch,Yes
Pokemon,2022,Pokemon Legends: Arceus,Nintendo Switch,
Pokemon,2022,Pokemon Scarlet,Nintendo Switch,
Pokemon Spin-Off,2000,Pokemon Puzzle Challenge,Nintendo GBC,Yes
Pokemon Spin-Off,2001,Pokemon TCG Team Rocket,Nintendo GBC,Yes
Rayman,2011,Rayman Origins,Sony PSV,
Rayman,2013,Rayman Legends,Sony PSV,
Red Dead,2010,Red Dead Redemption,Sony PS3,Yes
Red Dead,2018,Red Dead Redemption 2,Microsoft Windows,
Resident Evil,1998hd,Resident Evil 2,Microsoft Windows,Yes
Resident Evil,1999hd,Resident Evil 3,Microsoft Windows,
