appid,game,buildid
1462040,Final Fantasy VII Remake,16791625
2909400,Final Fantasy VII Rebirth,20553787
1245620,Elden Ring,21034490
367520,Hollow Knight,20231655
1086940,Baldur's Gate III,20875335
524220,Nier Automata,7020666
1113560,Nier Replicant,7396468
814380,Sekiro,5794815
678950,Dragon Ball FighterZ,20732899
